,GEONAME,Pop_Tot,Prop_18y,Prop_64y,Prop_65y+,Prop_Blk,Prop_Lat,Prop_Whi,Prop_Asi,Prop_Ami,Prop_NHO,Prop_FPL1,Prop_FPL2,Prop_forb,Prop_Eng,Prop_edLH,Prop_edHG,Prop_edSC,Prop_edCG,MHI,Prop_groc,Prop_60mi,No_farm,Prop_obse,Prop_DM,Rte_CVD,Prop_ownr,Prop_rentr,No_hless,Rte_crim,Rte_alco,Propt_envi,Prop_depr,Propt_HPI,Prop_fru,Prop_bev,Prop_hyp,Prop_marj
0,ALHAMBRA,86705,0.1831,0.6504,0.1665,0.0133,0.3435,0.0913,0.5498,0.0014,0.0007,0.1303,0.3356,0.5021,0.2112,0.1934,0.228,0.2497,0.3289,53582,0.5239,0.111,1,0.1358,0.1040,170.91400000000002,0.40399999999999997,0.596,64,168,12,6,0.0523,43.3,0.2,0.2,0.2,0.1
1,ALTADENA,42525,0.2072,0.6221,0.1707,0.2374,0.2905,0.4129,0.0553,0.0019,0.002,0.0988,0.2281,0.2021,0.0379,0.105,0.1397,0.2918,0.4635,86050,0.4524,0.12,1,0.2441,0.1358,211.035,0.7190000000000001,0.281,58,162,6,62,0.1099,75.5,0.1,0.3,0.3,0.2
2,ARCADIA,56992,0.1794,0.6389,0.1817,0.0115,0.125,0.2304,0.6315,0.0014,0.0003,0.0774,0.2042,0.4877,0.1888,0.0789,0.1601,0.243,0.518,79934,0.511,0.131,0,0.0570,0.0819,173.37099999999998,0.596,0.40399999999999997,12,146,19,27,0.0493,73.4,0.1,0.2,0.2,0.0
3,AZUSA,49479,0.2507,0.6538,0.0956,0.0292,0.6838,0.1938,0.0895,0.0024,0.0013,0.1636,0.3935,0.3082,0.1156,0.2232,0.2932,0.2873,0.1962,53135,0.5997,0.121,0,0.2607,0.1198,218.75400000000002,0.527,0.473,55,354,14,48,0.0895,34.2,0.1,0.4,0.2,0.1
4,BALDWIN PARK,74438,0.2623,0.633,0.1047,0.0099,0.7934,0.0432,0.1514,0.0012,0.0008,0.1591,0.4116,0.4453,0.1908,0.374,0.317,0.1962,0.1128,51742,0.5444,0.125,1,0.2652,0.1307,195.52200000000002,0.5720000000000001,0.428,111,391,10,9,0.0544,22.3,0.1,0.4,0.3,0.1
5,BELL,36595,0.2893,0.6249,0.0857,0.0061,0.9286,0.0569,0.0063,0.002,0.0,0.2588,0.6647,0.4271,0.2669,0.526,0.2014,0.1999,0.0726,37269,0.84,0.109,0,0.2578,0.1154,185.426,0.276,0.7240000000000001,477,637,13,45,0.0755,10.4,0.1,0.4,0.2,0.1
6,BELL GARDENS,42817,0.3026,0.6274,0.07,0.005,0.9584,0.027999999999999997,0.0055,0.0022,0.0008,0.2693,0.6934,0.4291,0.2324,0.5573,0.2447,0.1444,0.0536,37882,0.6476,0.08800000000000001,0,0.2860,0.1225,213.81900000000002,0.22899999999999998,0.7709999999999999,104,362,14,53,0.0983,4.1,0.1,0.4,0.2,0.1
7,BELLFLOWER,76057,0.2529,0.6383,0.1088,0.1507,0.5185,0.1939,0.1258,0.0031,0.008,0.161,0.41100000000000003,0.2921,0.1100,0.2239,0.2887,0.3211,0.1663,48823,0.6473,0.11800000000000001,1,0.2469,0.1252,245.325,0.392,0.608,241,515,12,58,0.0631,27.9,0.2,0.5,0.4,0.1
8,BEVERLY HILLS,34652,0.1574,0.6406,0.2021,0.0209,0.0591,0.8212,0.0976,0.0009,0.0003,0.0801,0.1604,0.3841,0.1077,0.0505,0.128,0.2106,0.6109,97327,0.7074,0.049,1,**,**,138.562,0.41200000000000003,0.588,16,306,46,43,0.1924,88.1,0.2,0.1,0.4,0.2
9,BURBANK,104692,0.182,0.6683,0.1497,0.0249,0.2551,0.5918,0.1256,0.0018,0.0007,0.092,0.1665,0.3399,0.0977,0.1133,0.1816,0.3219,0.3831,66076,0.6632,0.091,1,0.1746,0.0714,201.68400000000003,0.40700000000000003,0.593,167,201,22,5,0.099,62.2,0.2,0.3,0.2,0.2
10,CALABASAS,24182,0.2031,0.6378,0.1591,0.0152,0.0662,0.8261,0.0911,0.0013,0.0002,0.0562,0.1255,0.2618,0.0360,0.0302,0.1202,0.2129,0.6367,106050,0.2029,0.20600000000000002,1,0.1094,**,127.516,0.7020000000000001,0.298,0,62,19,85,0.1412,91.6,0.1,0.2,0.2,0.1
